product_id,name,description,category,price,quantity,currency,image_url,supplier,attribute1,attribute2,attribute3,attribute4,attribute5
101,Sony 4K Television Model 993,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,668.9,8,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,,,,
102,Samsung Refrigerator Model 456,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1208.97,8,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5001,5002,,,
103,Bosch Washing Machine Model 581,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,675.51,22,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5002,5001,5016,,
104,Samsung Refrigerator Model 205,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1445.87,10,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
105,LG 4K Television Model 501,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1371.44,8,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5003,5020,5011,5016,
106,Sony 4K Television Model 533,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,885.99,6,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,5003,,,
107,Bosch Washing Machine Model 936,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,798.15,10,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5014,5016,,,
108,Sharp Microwave Oven Model 925,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1948.74,15,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
109,Samsung Microwave Oven Model 907,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,323.07,11,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
110,GE Washing Machine Model 936,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,669.86,12,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5014,,,,
111,Siemens Washing Machine Model 231,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,727.63,1,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5001,5002,5014,,
112,LG Refrigerator Model 167,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1742.45,18,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5002,5005,,
113,LG 4K Television Model 349,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,839.83,16,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
114,Samsung Refrigerator Model 636,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,217.3,22,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5002,,,
115,LG Refrigerator Model 387,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,177.73,17,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5005,,,,
116,Sony 4K Television Model 560,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,112.68,21,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5011,5016,,,
117,LG 4K Television Model 192,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1369.69,8,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,5003,5011,5016,
118,Samsung Microwave Oven Model 757,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,602.95,17,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5012,5001,,
119,Samsung 4K Television Model 946,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,117.01,14,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5003,,,
120,LG 4K Television Model 423,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1311.49,14,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5011,5016,,,
121,LG 4K Television Model 985,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,265.39,12,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5011,,,,
122,LG Refrigerator Model 534,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1659.24,8,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5005,5016,5001,,
123,Sharp Microwave Oven Model 266,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1936.61,10,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5001,,,,
124,LG Refrigerator Model 207,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,262.31,12,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5002,5005,5001,
125,Sony 4K Television Model 957,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,247.66,5,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,,,,
126,LG 4K Television Model 726,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1954.22,11,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5011,,,,
127,Samsung 4K Television Model 435,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1577.81,19,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5020,5003,,
128,Samsung Microwave Oven Model 518,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1181.4,18,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5001,5009,5012,,
129,Samsung 4K Television Model 482,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1593.52,10,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5020,5011,,
130,Sony 4K Television Model 781,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1541.61,7,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,5003,5016,5011,
131,Samsung Microwave Oven Model 675,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1206.36,17,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5009,5012,5001,,
132,Siemens Washing Machine Model 765,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,1920.95,22,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5002,,,,
133,Samsung 4K Television Model 829,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,568.09,9,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,5003,5011,5016,
134,LG Refrigerator Model 680,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1105.85,21,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
135,Siemens Washing Machine Model 994,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,840.2,17,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5002,,,,
136,Samsung Microwave Oven Model 359,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1600.48,11,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5009,5016,,,
137,LG Refrigerator Model 694,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,195.92,13,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5016,5005,,,
138,LG 4K Television Model 555,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,382.65,9,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5020,5003,5016,,
139,Sony 4K Television Model 908,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,1756.42,21,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5011,,,,
140,Panasonic Microwave Oven Model 761,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,755.91,17,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5001,5012,,,
141,Sharp Microwave Oven Model 983,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,614.89,11,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5012,,,,
142,Bosch Washing Machine Model 909,High-capacity washing machine featuring multiple wash settings and eco-friendly operation.,Washing Machines,1309.94,14,USD,http://example.com/images/product.jpg,Cozy Home Appliances,5014,,,,
143,Sharp Microwave Oven Model 737,Compact microwave oven with advanced heating options and easy-to-use interface.,Microwaves,1021.72,16,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
144,Samsung Refrigerator Model 510,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,1995.38,18,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
145,Sony 4K Television Model 279,Ultra HD television with vibrant colors and smart connectivity features.,Televisions,982.09,5,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
146,LG Refrigerator Model 592,Energy-efficient refrigerator with spacious design and modern cooling technology.,Refrigerators,153.47,5,USD,http://example.com/images/product.jpg,Cozy Home Appliances,,,,,
